entry_name,category,experiment,edit_mode,tau,src_consistency,src_semantic,tgt_consistency,tgt_semantic,lpips,lpips_best_view,lpips_worst_view,mvclip_src_src,mvclip_src_tgt,mvclip_tgt_src,mvclip_tgt_tgt,mvclip_improvement,mvclip_preservation,error
clay->crystal,diff_tau,mode_qk_img_tau-1,qk_img,-1,100.00,25.00,40.00,90.00,0.2068,0,1,-0.2347,-1.6346,-1.8663,0.2923,+2.1587,+1.3999,
clay->crystal,diff_tau,mode_qk_img_tau0.1,qk_img,0.1,95.00,25.00,98.00,35.00,0.1086,1,3,-0.2347,-1.4860,-1.8663,0.2700,+2.1363,+1.2513,
clay->crystal,diff_tau,mode_qk_img_tau0.3,qk_img,0.3,100.00,30.00,30.00,20.00,0.0703,1,0,-0.2347,-1.3079,-1.8663,-0.9311,+0.9353,+1.0733,
clay->crystal,diff_editmode_same_identity,mode_qk_full_tau0.2,qk_full,0.2,100.00,30.00,95.00,40.00,0.0537,3,2,-0.2347,-1.3327,-1.8663,-1.0263,+0.8401,+1.0981,
clay->crystal,diff_editmode_same_identity,mode_qk_img_tau0.2,qk_img,0.2,98.00,25.00,95.00,30.00,0.0699,1,2,-0.2347,-1.4270,-1.8663,-0.8131,+1.0532,+1.1923,
clay->crystal,diff_editmode_same_identity,mode_full_tau0.2,full,0.2,100.00,25.00,55.00,30.00,0.0154,0,1,-0.2347,-1.0225,-1.8663,-0.8164,+1.0500,+0.7879,
cozy->sleek,diff_tau,mode_qk_img_tau-1,qk_img,-1,55.00,40.00,90.00,55.00,0.4920,0,2,-1.9576,-2.1693,-1.8144,-0.9808,+0.8337,+0.2117,
cozy->sleek,diff_tau,mode_qk_img_tau0.1,qk_img,0.1,30.00,25.00,95.00,5.00,0.1120,1,3,-1.9576,-2.2699,-1.8144,-2.0976,-0.2831,+0.3123,
cozy->sleek,diff_tau,mode_qk_img_tau0.3,qk_img,0.3,100.00,45.00,15.00,5.00,0.0566,1,3,-1.9576,-2.2332,-1.8144,-1.8607,-0.0462,+0.2756,
cozy->sleek,diff_editmode_same_identity,mode_qk_full_tau0.2,qk_full,0.2,100.00,35.00,40.00,5.00,0.0734,1,3,-1.9576,-2.0343,-1.8144,-1.5322,+0.2822,+0.0767,
